,Stance,Relevancy,,
120,unrelated,0.3832702935,1,
121,discuss,0.7382916212,1,
122,unrelated,0.4084870219,1,
123,unrelated,0.3955691457,1,
124,unrelated,0.2812763155,1,
125,unrelated,0.5598960519,1,
126,unrelated,0.3325026929,1,
127,unrelated,0.3460835516,1,
128,agree,0.5230317116,0,
129,agree,0.7100038528,1,
130,discuss,0.55864048,0,
131,unrelated,0.4060597122,1,
132,unrelated,0.4657234251,1,
133,unrelated,0.4196248949,1,
134,unrelated,0.5869914889,1,
135,unrelated,0.2640699446,1,
136,unrelated,0.653624177,0,
137,unrelated,0.3281193674,1,
138,unrelated,0.3118599653,1,
139,discuss,0.4336409867,0,
140,unrelated,0.3731638789,1,
141,discuss,0.7004544735,1,
142,unrelated,0.6854708791,0,
143,unrelated,0.3435336649,1,
144,unrelated,0.3318992257,1,
145,discuss,0.6619511843,1,
146,unrelated,0.4713035226,1,
147,unrelated,0.4393182397,1,
148,unrelated,0.3225294054,1,
149,discuss,0.6576212645,1,
150,discuss,0.474853158,0,
151,discuss,0.6852143407,1,
152,unrelated,0.5632192492,1,
153,unrelated,0.4181819856,1,
154,discuss,0.4196983874,0,
155,unrelated,0.2563954294,1,
156,unrelated,0.4996519983,1,
157,discuss,0.5148960948,0,
158,unrelated,0.3701777756,1,
159,unrelated,0.2776938975,1,
160,unrelated,0.3701565266,1,
161,unrelated,0.4007511735,1,
162,unrelated,0.4032668769,1,
163,agree,0.3615325987,0,
164,unrelated,0.1663327217,1,
165,unrelated,0.3889194429,1,
166,disagree,0.7565883398,1,
167,unrelated,0.5556280017,1,
168,agree,0.7108067274,1,
169,unrelated,0.3417756855,1,
170,unrelated,0.3941305876,1,
171,unrelated,0.4111453891,1,
172,disagree,0.5221500397,0,
173,unrelated,0.3891591728,1,
174,unrelated,0.4187468886,1,
175,unrelated,0.4464096725,1,
176,unrelated,0.4537502229,1,
177,unrelated,0.3297456801,1,
178,unrelated,0.3080852032,1,
179,agree,0.6652345657,1,
180,discuss,0.1988040656,0,
181,unrelated,0.4275588691,1,
182,unrelated,0.323610872,1,
183,unrelated,0.317540288,1,
184,unrelated,0.3126888275,1,
185,unrelated,0.650021553,0,
186,unrelated,0.4469283223,1,
187,unrelated,0.3821065128,1,
188,unrelated,0.5337407589,1,
189,unrelated,0.4723725021,1,
190,unrelated,0.5700637102,1,
191,unrelated,0.2608965635,1,
192,unrelated,0.263394475,1,
193,unrelated,0.4491906166,1,
194,discuss,0.6888981462,1,
195,unrelated,0.5420284271,1,
196,unrelated,0.5534145236,1,
197,unrelated,0.4244167209,1,
198,unrelated,0.3017078638,1,
199,unrelated,0.388133049,1,
200,unrelated,0.3770949543,1,
201,unrelated,0.3546559513,1,
202,unrelated,0.2732318342,1,
203,discuss,0.6587643027,1,
204,unrelated,0.4476341903,1,
205,unrelated,0.4961922169,1,
206,discuss,0.7029781938,1,
207,unrelated,0.4133016467,1,
208,unrelated,0.4150806963,1,
209,agree,0.516859293,0,
210,unrelated,0.6151748896,0,
211,discuss,0.7654623389,1,
212,unrelated,0.3942090273,1,
213,discuss,0.5594595075,0,
214,unrelated,0.4482409656,1,
215,discuss,0.5459961295,0,
216,unrelated,0.3484823704,1,
217,unrelated,0.4463705122,1,
218,agree,0.3547539115,0,
219,unrelated,0.5803389549,1,
220,unrelated,0.3867731392,1,
221,unrelated,0.3012533188,1,
222,unrelated,0.2388442755,1,
223,agree,0.4273552895,0,
224,discuss,0.6967228055,1,
225,unrelated,0.2754731774,1,
226,unrelated,0.4524264336,1,
227,unrelated,0.3773294389,1,
228,unrelated,0.3346178234,1,
229,unrelated,0.4731784761,1,
230,unrelated,0.4409100413,1,
231,unrelated,0.4865359664,1,
232,discuss,0.7029159665,1,
233,unrelated,0.3175751269,1,
234,unrelated,0.3771627247,1,
235,unrelated,0.5405777693,1,
236,discuss,0.4018318057,0,
237,unrelated,0.2032080442,1,
238,discuss,0.6172119379,1,
239,unrelated,0.3416355252,1,
240,unrelated,0.4286601543,1,
241,discuss,0.7941203117,1,
242,unrelated,0.4183669984,1,
243,agree,0.4570774138,0,
244,unrelated,0.4400486946,1,
245,unrelated,0.4334605038,1,
246,discuss,0.749748826,1,
247,unrelated,0.4910190105,1,
248,unrelated,0.3230878413,1,
249,unrelated,0.5107921958,1,
250,unrelated,0.4669268131,1,
251,unrelated,0.3258122504,1,
252,unrelated,0.3433527648,1,
253,unrelated,0.4734059274,1,
254,unrelated,0.4305958152,1,
255,unrelated,0.5130361915,1,
256,discuss,0.6261258125,1,
257,unrelated,0.2976832986,1,
258,agree,0.739859581,1,
259,discuss,0.6270181537,1,
260,unrelated,0.6290894151,0,
261,unrelated,0.4987871945,1,
262,unrelated,0.360013485,1,
263,unrelated,0.4557954073,1,
264,unrelated,0.4368345737,1,
265,discuss,0.4796385765,0,
266,unrelated,0.3083591163,1,
267,unrelated,0.4410135746,1,
268,unrelated,0.2965466082,1,
269,discuss,0.5948418379,0,
270,unrelated,0.3761851192,1,
271,unrelated,0.4569544196,1,
272,discuss,0.3507719934,0,
273,unrelated,0.3676535189,1,
274,discuss,0.5935481787,0,
275,unrelated,0.3376921117,1,
276,unrelated,0.2773130834,1,
277,unrelated,0.5156562328,1,
278,disagree,0.4035694599,0,
279,unrelated,0.3288464546,1,
280,unrelated,0.4886380434,1,
281,discuss,0.1331915408,0,
282,disagree,0.5635044575,0,
283,discuss,0.7690774798,1,
284,discuss,0.3990925848,0,
285,discuss,0.8498489261,1,
286,unrelated,0.0567834079,1,
287,unrelated,0.2320802361,1,
288,unrelated,0.3029255569,1,
289,unrelated,0.320430994,1,
290,unrelated,0.3262595534,1,
291,discuss,0.5991358161,0,
292,unrelated,0.5399608612,1,
293,discuss,0.4993827045,0,
294,unrelated,0.2794618905,1,
295,unrelated,0.2993509173,1,
296,disagree,0.3695236742,0,
297,unrelated,0.3589044809,1,
298,unrelated,0.3011066318,1,
299,unrelated,0.2413994223,1,
300,agree,0.5445490479,0,
301,unrelated,0.235456869,1,
302,unrelated,0.2346588373,1,
303,unrelated,0.2444430739,1,
304,unrelated,0.3743048608,1,
305,unrelated,0.5266584754,1,
306,unrelated,0.3419600129,1,
307,unrelated,0.4518714845,1,
308,discuss,0.6033833027,1,
309,discuss,0.4848406911,0,
310,unrelated,0.4135561883,1,
311,unrelated,0.3417295218,1,
312,unrelated,0.4633125365,1,
313,discuss,0.6291573644,1,
314,discuss,0.5367187262,0,
315,unrelated,0.582446456,1,
316,unrelated,0.5506384373,1,
317,unrelated,0.4085950255,1,
318,unrelated,0.4287861586,1,
319,agree,0.6872388721,1,
320,unrelated,0.5833447576,1,
321,unrelated,0.3977261782,1,
322,unrelated,0.4072225392,1,
323,unrelated,0.5202552676,1,
324,unrelated,0.3886009753,1,
325,unrelated,0.6627862453,0,
326,unrelated,0.4319962859,1,
327,unrelated,0.4124145806,1,
328,agree,0.5437043309,0,
329,unrelated,0.3172588646,1,
330,unrelated,0.3464409113,1,
331,agree,0.7107881904,1,
332,discuss,0.6202292442,1,
333,unrelated,0.6410338283,0,
334,unrelated,0.4011852145,1,
335,unrelated,0.2737156749,1,
336,agree,0.5611586571,0,
337,unrelated,0.3226771057,1,
338,unrelated,0.4896781445,1,
339,unrelated,0.3201088309,1,
340,unrelated,0.3871031702,1,
341,unrelated,0.409494251,1,
342,unrelated,0.3657126129,1,
343,unrelated,0.3551011384,1,
344,discuss,0.56712538,0,
345,unrelated,0.4705907702,1,
346,unrelated,0.2446842641,1,
347,unrelated,0.4245303571,1,
348,unrelated,0.5836926699,1,
349,unrelated,0.458866328,1,
350,disagree,0.5159196854,0,
351,unrelated,0.5121114254,1,
352,unrelated,0.4998711944,1,
353,discuss,0.6175917387,1,
354,agree,0.7112047672,1,
355,unrelated,0.3964156508,1,
356,unrelated,0.4053789973,1,
357,unrelated,0.3070218563,1,
358,unrelated,0.4350594282,1,
359,discuss,0.3119988739,0,
360,unrelated,0.3591340184,1,
361,unrelated,0.4198469818,1,
362,discuss,0.6598417759,1,
363,unrelated,0.3153675199,1,
364,unrelated,0.3610302508,1,
365,unrelated,0.4267868698,1,
366,unrelated,0.5789865255,1,
367,unrelated,0.4477480054,1,
368,unrelated,0.2567560375,1,
369,discuss,0.6380970478,1,
370,unrelated,0.398278892,1,
371,discuss,0.3774746656,0,
372,unrelated,0.5571101904,1,
373,unrelated,0.2141628712,1,
374,disagree,0.625407815,1,
375,unrelated,0.4228516221,1,
376,disagree,0.5821762085,0,
377,unrelated,0.4149928093,1,
378,unrelated,0.2792915106,1,
379,unrelated,0.3985534906,1,
380,discuss,0.3648012877,0,
381,unrelated,0.4634918272,1,
382,discuss,0.7519828081,1,
383,unrelated,0.2439910173,1,
384,unrelated,0.4100383818,1,
385,unrelated,0.2521073818,1,
386,agree,0.7481243014,1,
387,unrelated,0.4141596556,1,
388,discuss,0.5732910633,0,
389,agree,0.7856768966,1,
390,agree,0.8756209016,1,
391,unrelated,0.47333318,1,
392,discuss,0.4450356662,0,
393,discuss,0.7463986278,1,
394,unrelated,0.4792519212,1,
395,agree,0.3751709163,0,
396,unrelated,0.3242239952,1,
397,agree,0.3117654324,0,
398,unrelated,0.3062036335,1,
399,unrelated,0.3244855106,1,
400,unrelated,0.431653738,1,
401,discuss,0.7858982682,1,
402,agree,0.6578094959,1,
403,discuss,0.4288470447,0,
404,unrelated,0.2561033666,1,
405,unrelated,0.5655021667,1,
406,unrelated,0.3870338798,1,
407,unrelated,0.4000423253,1,
408,unrelated,0.5133359432,1,
409,unrelated,0.2949588001,1,
410,discuss,0.5950281024,0,
411,unrelated,0.4291267991,1,
412,unrelated,0.4020628035,1,
413,unrelated,0.3230213523,1,
414,unrelated,0.2551852465,1,
415,unrelated,0.3729073107,1,
416,unrelated,0.1494601518,1,
417,unrelated,0.3712367415,1,
418,unrelated,0.4130426645,1,
419,unrelated,0.4695534408,1,
420,unrelated,0.5478332639,1,
421,unrelated,0.2853361964,1,
422,unrelated,0.3597018719,1,
423,unrelated,0.4265768826,1,
424,discuss,0.700905025,1,
425,unrelated,0.3472069502,1,
426,unrelated,0.4318116307,1,
427,discuss,0.5750509501,0,
428,unrelated,0.2931908071,1,
429,disagree,0.5637101531,0,
430,unrelated,0.2682142854,1,
431,discuss,0.6271401644,1,
432,discuss,0.5982050896,0,
433,discuss,0.7496219873,1,
434,unrelated,0.3389673531,1,
435,unrelated,0.3160741627,1,
436,unrelated,0.5406496525,1,
437,unrelated,0.3069036901,1,
438,unrelated,0.5307551026,1,
439,unrelated,0.4872545898,1,
440,discuss,0.679315567,1,
441,unrelated,0.5588766336,1,
442,unrelated,0.2129607797,1,
443,unrelated,0.2763863504,1,
444,unrelated,0.4944940805,1,
445,discuss,0.457013011,0,
446,unrelated,0.2596174479,1,
447,disagree,0.7470106483,1,
448,unrelated,0.4798986018,1,
449,agree,0.5670657754,0,
450,unrelated,0.333758682,1,
451,unrelated,0.4589971304,1,
452,unrelated,0.2930101454,1,
453,unrelated,0.3829931617,1,
454,discuss,0.5145347118,0,
455,unrelated,0.2941298187,1,
456,discuss,0.5150399804,0,
457,unrelated,0.3026320934,1,
458,discuss,0.30285725,0,
459,unrelated,0.4404175282,1,
460,unrelated,0.3723416924,1,
461,unrelated,0.1854459047,1,
462,unrelated,0.4594291747,1,
463,unrelated,0.3915409744,1,
464,unrelated,0.224538818,1,
465,unrelated,0.3120660484,1,
466,discuss,0.7831131816,1,
467,unrelated,0.4052322209,1,
468,unrelated,0.3422559202,1,
469,discuss,0.6808445454,1,
470,unrelated,0.4117497206,1,
471,discuss,0.6398561001,1,
472,unrelated,0.2328777015,1,
473,unrelated,0.3889463246,1,
474,unrelated,0.2791647017,1,
475,unrelated,0.3373824954,1,
476,unrelated,0.4852590263,1,
477,unrelated,0.3395807743,1,
478,unrelated,0.4425802827,1,
479,unrelated,0.4188566804,1,
480,unrelated,0.4205670357,1,
481,unrelated,0.4279499054,1,
482,unrelated,0.546166122,1,
483,discuss,0.5284532905,0,
484,discuss,0.5809944272,0,
485,agree,0.5812023878,0,
486,unrelated,0.4396430552,1,
487,discuss,0.6345616579,1,
488,unrelated,0.5522878766,1,
489,agree,0.6301864982,1,
490,unrelated,0.3739199042,1,
491,unrelated,0.4010535777,1,
492,unrelated,0.4111583233,1,
493,unrelated,0.452829212,1,
494,unrelated,0.3346863687,1,
495,agree,0.7159821391,1,
496,discuss,0.4909160435,0,
497,unrelated,0.5599711537,1,
498,unrelated,0.3747497201,1,
499,unrelated,0.6500243545,0,
500,unrelated,0.5662914515,1,
501,unrelated,0.4026415646,1,
502,unrelated,0.238202706,1,
503,unrelated,0.4031204283,1,
504,agree,0.6080613136,1,
505,unrelated,0.5161327124,1,
506,disagree,0.7646720409,1,
507,unrelated,0.5001586676,1,
508,unrelated,0.3517227173,1,
509,discuss,0.653881073,1,
510,disagree,0.7051535249,1,
511,unrelated,0.2276462317,1,
512,unrelated,0.3502224684,1,
513,unrelated,0.6474341154,0,
514,unrelated,0.5109795332,1,
515,unrelated,0.4601586759,1,
516,unrelated,0.3532677591,1,
517,unrelated,0.3335275054,1,
518,unrelated,0.4379717112,1,
519,discuss,0.6962812543,1,
520,unrelated,0.3188059032,1,
521,unrelated,0.5074493289,1,
522,unrelated,0.400940448,1,
523,unrelated,0.2616960704,1,
524,unrelated,0.5070174932,1,
525,unrelated,0.457727164,1,
526,discuss,0.549942553,0,
527,agree,0.6003004313,1,
528,unrelated,0.5730609298,1,
529,unrelated,0.253220737,1,
530,unrelated,0.4604489207,1,
531,unrelated,0.3845243454,1,
532,discuss,0.4369362891,0,
533,unrelated,0.358097136,1,
534,discuss,0.4999749362,0,
535,unrelated,0.3082855344,1,
536,unrelated,0.3788782954,1,
537,unrelated,0.3561491072,1,
538,agree,0.7836621404,1,
539,unrelated,0.4368056357,1,
540,agree,0.7548015118,1,
541,unrelated,0.329122901,1,
542,agree,0.6920853257,1,
543,unrelated,0.4634335637,1,
544,unrelated,0.3037623763,1,
545,unrelated,0.3746954501,1,
546,unrelated,0.4476809502,1,
547,discuss,0.410713613,0,
548,discuss,0.4723516405,0,
549,unrelated,0.4671424627,1,
550,unrelated,0.4955449402,1,
551,unrelated,0.3668251932,1,
552,discuss,0.5257151723,0,
553,unrelated,0.5605345368,1,
554,agree,0.7170697451,1,
555,unrelated,0.2959602773,1,
556,unrelated,0.4153862596,1,
557,discuss,0.3779616952,0,
558,unrelated,0.3708005846,1,
559,unrelated,0.3381228447,1,
560,unrelated,0.306917578,1,
561,unrelated,0.4583301842,1,
562,discuss,0.4611573815,0,
563,unrelated,0.3315810859,1,
564,unrelated,0.4632200897,1,
565,discuss,0.6569971442,1,
566,unrelated,0.2785928249,1,
567,unrelated,0.4907617867,1,
568,discuss,0.6364752054,1,
569,discuss,0.6143164039,1,
570,unrelated,0.4311455786,1,
571,discuss,0.5530830622,0,
572,unrelated,0.3948277831,1,
573,unrelated,0.3649954498,1,
574,unrelated,0.226544857,1,
575,discuss,0.5342929959,0,
576,discuss,0.4444637597,0,
577,discuss,0.6006151438,1,
578,unrelated,0.4201110899,1,
579,agree,0.4802062809,0,
580,unrelated,0.5669071078,1,
581,unrelated,0.4526393414,1,
582,unrelated,0.3013445735,1,
583,agree,0.607919395,1,
584,unrelated,0.2993777692,1,
585,discuss,0.6080207229,1,
586,unrelated,0.2845176458,1,
587,unrelated,0.5532018542,1,
588,discuss,0.7209642529,1,
589,unrelated,0.44227916,1,
590,unrelated,0.4838576019,1,
591,unrelated,0.2581582963,1,
592,unrelated,0.2815301418,1,
593,unrelated,0.3716541231,1,
594,unrelated,0.5375618935,1,
595,unrelated,0.3820517361,1,
596,discuss,0.6050395966,1,
597,unrelated,0.3108426332,1,
598,unrelated,0.6428046227,0,
599,unrelated,0.2813176215,1,
600,unrelated,0.358671844,1,
601,agree,0.6431784034,1,
602,unrelated,0.3514558375,1,
603,discuss,0.7249049544,1,
604,unrelated,0.4467025697,1,
605,unrelated,0.3881812096,1,
606,unrelated,0.3592351377,1,
607,unrelated,0.6213297248,0,
608,unrelated,0.3774706125,1,
609,unrelated,0.5376369953,1,
610,unrelated,0.5224456191,1,
611,discuss,0.567578733,0,
612,unrelated,0.6918456554,0,
613,unrelated,0.5362906456,1,
614,unrelated,0.1686186343,1,
615,unrelated,0.3807358146,1,
616,agree,0.690479517,1,
617,unrelated,0.535415411,1,
618,unrelated,0.4470231831,1,
619,unrelated,0.4074669778,1,
620,unrelated,0.3163791001,1,
621,agree,0.5381900668,0,
622,unrelated,0.2673296034,1,
623,unrelated,0.2478273958,1,
624,agree,0.6305104494,1,
625,unrelated,0.4417395592,1,
626,unrelated,0.403878063,1,
627,unrelated,0.5876722336,1,
628,unrelated,0.4366069734,1,
629,unrelated,0.428044349,1,
630,unrelated,0.45045802,1,
631,discuss,0.6134207249,1,
632,unrelated,0.3206788599,1,
633,unrelated,0.3634235263,1,
634,unrelated,0.4210658073,1,
635,unrelated,0.3966496885,1,
636,agree,0.7236910462,1,
637,discuss,0.7832483649,1,
638,unrelated,0.5670261383,1,
639,unrelated,0.2056245059,1,
640,unrelated,0.3028609455,1,
641,discuss,0.629978776,1,
642,unrelated,0.3278906643,1,
643,unrelated,0.3289823234,1,
644,unrelated,0.3940311968,1,
645,unrelated,0.377721101,1,
646,agree,0.7173166871,1,
647,unrelated,0.5151770115,1,
648,agree,0.6642084718,1,
649,agree,0.6950202584,1,
650,agree,0.6422148943,1,
651,unrelated,0.4270266593,1,
652,unrelated,0.2708476782,1,
653,unrelated,0.4334442317,1,
654,unrelated,0.412551105,1,
655,unrelated,0.1995463371,1,
656,unrelated,0.4440787137,1,
657,unrelated,0.3460509479,1,
658,unrelated,0.4478931427,1,
659,unrelated,0.1390699595,1,
660,discuss,0.5905886889,0,
661,discuss,0.7047073245,1,
662,unrelated,0.2842483819,1,
663,unrelated,0.2121617347,1,
664,unrelated,0.4016219378,1,
665,unrelated,0.4754494727,1,
666,unrelated,0.3720702231,1,
667,agree,0.6911375523,1,
668,unrelated,0.4333661795,1,
669,unrelated,0.3230648935,1,
670,unrelated,0.4068105519,1,
671,discuss,0.5567947626,0,
672,unrelated,0.5764611363,1,
673,unrelated,0.1799894869,1,
674,unrelated,0.3849351406,1,
675,agree,0.5768575668,0,
676,unrelated,0.3066770732,1,
677,discuss,0.4876288176,0,
678,discuss,0.4277611375,0,
679,unrelated,0.346444428,1,
680,discuss,0.6398656964,1,
681,unrelated,0.3349849582,1,
682,discuss,0.5774396062,0,
683,unrelated,0.3858005106,1,
684,discuss,0.7121835351,1,
685,unrelated,0.284193635,1,
686,unrelated,0.3715880811,1,
687,unrelated,0.3860251606,1,
688,unrelated,0.3983439207,1,
689,unrelated,0.4449896216,1,
690,discuss,0.7867124081,1,
691,unrelated,0.2219722718,1,
692,unrelated,0.4525340497,1,
693,unrelated,0.6821055412,0,
694,unrelated,0.5434659123,1,
695,unrelated,0.3915398717,1,
696,unrelated,0.540065825,1,
697,unrelated,0.523260355,1,
698,discuss,0.6626224518,1,
699,unrelated,0.2736649513,1,
700,unrelated,0.541913867,1,
701,unrelated,0.2258832008,1,
702,unrelated,0.225177601,1,
703,discuss,0.7376816273,1,
704,unrelated,0.5291575193,1,
705,unrelated,0.3223246038,1,
706,unrelated,0.1620666534,1,
707,unrelated,0.4264450669,1,
708,agree,0.748408854,1,
709,unrelated,0.5450049043,1,
710,discuss,0.5698170662,0,
711,unrelated,0.5816393495,1,
712,unrelated,0.4011659622,1,
713,unrelated,0.4193616509,1,
714,unrelated,0.3063521683,1,
715,discuss,0.742665112,1,
716,agree,0.7529454827,1,
717,unrelated,0.2898679078,1,
718,unrelated,0.4923663437,1,
719,unrelated,0.4387150109,1,
720,unrelated,0.6301782727,0,
721,unrelated,0.2454824299,1,
722,unrelated,0.4194606245,1,
723,unrelated,0.5965417624,1,
724,unrelated,0.4368142188,1,
725,unrelated,0.395517081,1,
726,unrelated,0.2013136595,1,
727,unrelated,0.237289995,1,
728,agree,0.5547180176,0,
729,unrelated,0.5026577115,1,
730,discuss,0.7320942879,1,
731,unrelated,0.3491910398,1,
732,unrelated,0.4611796439,1,
733,unrelated,0.4161355197,1,
734,unrelated,0.4380270541,1,
735,unrelated,0.3831431866,1,
736,unrelated,0.3211431801,1,
737,discuss,0.7039818764,1,
738,discuss,0.579760015,0,
739,unrelated,0.375497967,1,
740,discuss,0.7700135112,1,
741,unrelated,0.3881400824,1,
742,unrelated,0.5953471661,1,
743,discuss,0.6099385619,1,
744,unrelated,0.5709217787,1,
745,agree,0.6060549617,1,
746,unrelated,0.3464308381,1,
747,unrelated,0.5590970516,1,
748,unrelated,0.498254925,1,
749,discuss,0.6067795753,1,
750,unrelated,0.4803018272,1,
751,discuss,0.6413062811,1,
752,unrelated,0.3901633322,1,
753,unrelated,0.2849811018,1,
754,unrelated,0.3763878345,1,
755,unrelated,0.3591263294,1,
756,unrelated,0.3620673716,1,
757,unrelated,0.2746204734,1,
758,unrelated,0.2145177573,1,
759,discuss,0.494956851,0,
760,agree,0.5194054246,0,
761,unrelated,0.4819948077,1,
762,unrelated,0.4344584942,1,
763,agree,0.3890595734,0,
764,unrelated,0.3190755546,1,
765,agree,0.5246021152,0,
766,agree,0.6536607742,1,
767,agree,0.5404287577,0,
768,unrelated,0.450926125,1,
769,unrelated,0.4162271619,1,
770,unrelated,0.3142135739,1,
771,unrelated,0.3875557184,1,
772,unrelated,0.5298317075,1,
773,unrelated,0.2966693938,1,
774,unrelated,0.3698321879,1,
775,unrelated,0.4693516791,1,
776,unrelated,0.3956806064,1,
777,unrelated,0.4900012612,1,
778,discuss,0.6288951039,1,
779,unrelated,0.3428091705,1,
780,unrelated,0.3478325009,1,
781,discuss,0.6829683185,1,
782,unrelated,0.3946456909,1,
783,unrelated,0.4188302755,1,
784,unrelated,0.5323370695,1,
785,disagree,0.6590718627,1,
786,agree,0.6237688661,1,
787,discuss,0.5572457314,0,
788,unrelated,0.572875917,1,
789,unrelated,0.4740669131,1,
790,unrelated,0.4219917953,1,
791,discuss,0.759729445,1,
792,unrelated,0.5382531881,1,
793,unrelated,0.4348770082,1,
794,unrelated,0.3613066971,1,
795,discuss,0.571130693,0,
796,discuss,0.7811151743,1,
797,unrelated,0.4633033276,1,
798,unrelated,0.3690654635,1,
799,unrelated,0.3727752268,1,
800,unrelated,0.4923087358,1,
801,discuss,0.4540304542,0,
802,unrelated,0.395197928,1,
803,unrelated,0.3637253642,1,
804,unrelated,0.3062715828,1,
805,discuss,0.605494678,1,
806,discuss,0.7312407494,1,
807,unrelated,0.3311938643,1,
808,unrelated,0.4752297699,1,
809,unrelated,0.5001931787,1,
810,unrelated,0.3743097484,1,
811,unrelated,0.4203861952,1,
812,unrelated,0.2697532475,1,
813,discuss,0.5572221875,0,
814,unrelated,0.3356410861,1,
815,unrelated,0.3253952563,1,
816,unrelated,0.2753278017,1,
817,unrelated,0.5272527933,1,
818,unrelated,0.3220099509,1,
819,unrelated,0.3129099905,1,
820,unrelated,0.435167551,1,
821,unrelated,0.3811278939,1,
822,unrelated,0.4643804133,1,
823,unrelated,0.6184332371,0,
824,unrelated,0.4275079072,1,
825,discuss,0.6099562645,1,
826,unrelated,0.3873733282,1,
827,unrelated,0.3066620231,1,
828,unrelated,0.4373683035,1,
829,unrelated,0.2732230127,1,
830,discuss,0.6543447971,1,
831,unrelated,0.2676882148,1,
832,unrelated,0.4429683685,1,
833,unrelated,0.4422993064,1,
834,unrelated,0.4057046771,1,
835,unrelated,0.3275395036,1,
836,unrelated,0.3735615611,1,
837,unrelated,0.247188881,1,
838,discuss,0.6378567219,1,
839,unrelated,0.3124955893,1,
840,unrelated,0.3548800647,1,
841,discuss,0.8678558469,1,
842,unrelated,0.4443869889,1,
843,unrelated,0.3926294744,1,
