"","x"
"371","agree"
"372","disagree"
"373","agree"
"374","agree"
"375","agree"
"376","agree"
"377","agree"
"378","agree"
"379","disagree"
"380","agree"
"381","agree"
"382","agree"
"383","agree"
"384","agree"
"385","agree"
"386","disagree"
"387","agree"
"388","agree"
"389","disagree"
"390","agree"
"391","agree"
"392","agree"
"393","disagree"
"394","agree"
"395","agree"
"396","agree"
"397","agree"
"398","agree"
"399","disagree"
"400","agree"
"401","agree"
"402","agree"
"403","agree"
"404","disagree"
"405","agree"
"406","agree"
"407","agree"
"408","agree"
"409","agree"
"410","agree"
"411","agree"
"412","agree"
"413","agree"
"414","disagree"
"415","agree"
"416","agree"
"417","disagree"
"418","agree"
"419","disagree"
"420","agree"
"421","agree"
"422","agree"
"423","agree"
"424","agree"
"425","agree"
"426","agree"
"427","agree"
"428","agree"
"429","agree"
"430","agree"
"431","disagree"
"432","agree"
"433","agree"
"434","agree"
"435","agree"
"436","agree"
"437","agree"
"438","agree"
"439","disagree"
"440","agree"
"441","agree"
"442","agree"
"443","agree"
"444","agree"
"445","agree"
"446","agree"
"447","agree"
"448","disagree"
"449","agree"
"450","agree"
"451","disagree"
"452","disagree"
"453","agree"
"454","agree"
"455","agree"
"456","agree"
"457","agree"
"458","agree"
"459","agree"
"460","agree"
"461","disagree"
"462","agree"
"463","agree"
"464","agree"
"465","agree"
"466","agree"
"467","agree"
"468","agree"
"469","agree"
"470","agree"
"471","agree"
"472","disagree"
"473","disagree"
"474","agree"
"475","agree"
"476","agree"
"477","agree"
"478","agree"
"479","agree"
"480","disagree"
"481","agree"
"482","agree"
"483","agree"
"484","agree"
"485","agree"
"486","agree"
"487","agree"
"488","agree"
"489","agree"
"490","agree"
"491","agree"
"492","agree"
"493","agree"
"494","agree"
"495","agree"
"496","agree"
"497","agree"
"498","disagree"
"499","agree"
"500","disagree"
"501","disagree"
"502","agree"
"503","agree"
"504","disagree"
"505","agree"
"506","disagree"
"507","agree"
"508","agree"
"509","agree"
"510","agree"
"511","agree"
"512","agree"
"513","agree"
"514","agree"
"515","agree"
"516","agree"
"517","agree"
"518","agree"
"519","agree"
"520","agree"
"521","agree"
"522","agree"
"523","agree"
"524","agree"
"525","disagree"
"526","disagree"
"527","disagree"
"528","agree"
"529","agree"
"530","agree"
"531","disagree"
"532","agree"
"533","agree"
"534","agree"
"535","disagree"
"536","agree"
"537","agree"
"538","agree"
"539","agree"
"540","agree"
"541","disagree"
"542","agree"
"543","agree"
"544","agree"
"545","agree"
"546","agree"
"547","disagree"
"548","agree"
"549","disagree"
"550","agree"
"551","disagree"
"552","agree"
"553","agree"
"554","agree"
"555","agree"
"556","agree"
"557","agree"
"558","agree"
"559","agree"
"560","agree"
"561","agree"
"562","agree"
"563","agree"
"564","agree"
"565","agree"
"566","agree"
"567","agree"
"568","agree"
"569","agree"
"570","disagree"
"571","agree"
"572","agree"
"573","agree"
"574","disagree"
"575","disagree"
"576","agree"
"577","disagree"
"578","disagree"
"579","agree"
"580","agree"
"581","agree"
"582","disagree"
"583","agree"
"584","agree"
"585","disagree"
"586","agree"
"587","agree"
"588","agree"
"589","agree"
"590","agree"
"591","disagree"
"592","agree"
"593","disagree"
"594","agree"
"595","agree"
"596","agree"
"597","agree"
"598","agree"
"599","disagree"
"600","disagree"
"601","agree"
"602","agree"
"603","agree"
"604","agree"
"605","agree"
"606","agree"
"607","agree"
"608","agree"
"609","disagree"
"610","agree"
"611","agree"
"612","agree"
"613","agree"
"614","agree"
"615","agree"
"616","agree"
"617","agree"
"618","agree"
"619","agree"
"620","agree"
"621","agree"
"622","agree"
"623","agree"
"624","agree"
"625","agree"
"626","agree"
"627","agree"
"628","agree"
"629","agree"
"630","agree"
"631","disagree"
"632","agree"
"633","agree"
"634","agree"
"635","agree"
"636","agree"
"637","agree"
"638","agree"
"639","agree"
"640","agree"
"641","disagree"
"642","agree"
"643","agree"
"644","agree"
"645","disagree"
"646","agree"
"647","disagree"
"648","agree"
"649","agree"
"650","agree"
"651","agree"
"652","agree"
"653","agree"
"654","agree"
"655","disagree"
"656","agree"
"657","agree"
"658","agree"
"659","agree"
"660","agree"
"661","agree"
"662","agree"
"663","agree"
"664","agree"
"665","agree"
"666","agree"
"667","agree"
"668","agree"
"669","agree"
"670","agree"
"671","agree"
"672","agree"
"673","agree"
"674","agree"
"675","agree"
"676","agree"
"677","agree"
"678","agree"
"679","agree"
"680","agree"
"681","disagree"
"682","agree"
"683","agree"
"684","agree"
"685","disagree"
"686","agree"
"687","disagree"
"688","agree"
"689","agree"
"690","agree"
"691","agree"
"692","agree"
"693","disagree"
"694","agree"
"695","disagree"
"696","disagree"
"697","agree"
"698","disagree"
"699","agree"
"700","agree"
"701","agree"
"702","agree"
"703","agree"
"704","agree"
"705","agree"
"706","agree"
"707","agree"
"708","agree"
"709","agree"
"710","agree"
"711","agree"
"712","agree"
"713","agree"
"714","agree"
"715","agree"
"716","agree"
"717","agree"
"718","disagree"
"719","agree"
"720","agree"
"721","agree"
"722","agree"
"723","agree"
"724","agree"
"725","agree"
"726","agree"
"727","disagree"
"728","agree"
"729","agree"
"730","agree"
"731","agree"
"732","agree"
"733","disagree"
"734","agree"
"735","agree"
"736","agree"
"737","agree"
"738","agree"
"739","agree"
"740","agree"
"741","disagree"
"742","agree"
"743","agree"
"744","disagree"
"745","disagree"
"746","agree"
"747","disagree"
"748","disagree"
"749","agree"
"750","disagree"
"751","agree"
"752","agree"
"753","agree"
"754","agree"
"755","agree"
"756","agree"
"757","agree"
"758","disagree"
"759","agree"
"760","agree"
"761","agree"
"762","agree"
"763","agree"
"764","agree"
"765","agree"
"766","agree"
"767","agree"
"768","disagree"
"769","disagree"
"770","agree"
"771","agree"
"772","agree"
"773","agree"
"774","agree"
"775","agree"
"776","disagree"
"777","agree"
"778","agree"
"779","disagree"
"780","disagree"
"781","agree"
"782","agree"
"783","agree"
"784","agree"
"785","agree"
"786","agree"
"787","disagree"
"788","agree"
"789","agree"
"790","disagree"
"791","agree"
"792","agree"
"793","agree"
"794","agree"
"795","agree"
"796","agree"
"797","agree"
"798","disagree"
"799","agree"
"800","agree"
"801","agree"
"802","disagree"
"803","disagree"
"804","disagree"
"805","agree"
"806","agree"
"807","agree"
"808","agree"
"809","agree"
"810","agree"
"811","agree"
"812","agree"
"813","agree"
"814","agree"
"815","agree"
"816","agree"
"817","disagree"
"818","agree"
"819","agree"
"820","agree"
"821","agree"
"822","agree"
"823","agree"
"824","disagree"
"825","agree"
"826","agree"
"827","agree"
"828","agree"
"829","disagree"
"830","disagree"
"831","agree"
"832","agree"
"833","agree"
"834","agree"
"835","agree"
"836","agree"
"837","agree"
"838","agree"
"839","agree"
"840","agree"
"841","disagree"
"842","agree"
"843","agree"
"844","disagree"
"845","agree"
"846","agree"
"847","agree"
"848","agree"
"849","agree"
"850","agree"
"851","agree"
"852","agree"
"853","agree"
"854","agree"
"855","disagree"
"856","agree"
"857","agree"
"858","agree"
"859","agree"
"860","agree"
"861","agree"
"862","disagree"
"863","agree"
"864","agree"
"865","agree"
"866","agree"
"867","agree"
"868","agree"
"869","agree"
"870","agree"
"871","agree"
"872","agree"
"873","agree"
"874","agree"
"875","agree"
"876","agree"
"877","agree"
"878","agree"
"879","disagree"
"880","agree"
"881","agree"
"882","agree"
"883","agree"
"884","disagree"
"885","agree"
"886","agree"
"887","agree"
"888","agree"
"889","agree"
"890","disagree"
"891","disagree"
"892","agree"
"893","agree"
"894","agree"
"895","agree"
"896","agree"
"897","agree"
"898","agree"
"899","agree"
"900","agree"
"901","agree"
"902","agree"
"903","agree"
"904","disagree"
"905","agree"
"906","disagree"
"907","agree"
"908","disagree"
"909","disagree"
"910","disagree"
"911","agree"
"912","disagree"
"913","disagree"
"914","agree"
"915","agree"
"916","agree"
"917","agree"
"918","disagree"
"919","agree"
"920","disagree"
"921","agree"
"922","agree"
"923","agree"
"924","agree"
"925","agree"
"926","agree"
"927","agree"
"928","agree"
"929","agree"
"930","disagree"
"931","agree"
"932","agree"
"933","agree"
"934","agree"
"935","agree"
"936","agree"
"937","agree"
"938","agree"
"939","agree"
"940","agree"
"941","agree"
"942","disagree"
"943","agree"
"944","agree"
"945","agree"
"946","agree"
"947","disagree"
"948","agree"
"949","agree"
"950","agree"
"951","agree"
"952","agree"
"953","agree"
"954","agree"
"955","agree"
"956","agree"
"957","disagree"
"958","agree"
"959","agree"
"960","agree"
"961","agree"
"962","agree"
"963","agree"
"964","agree"
"965","agree"
"966","disagree"
"967","disagree"
"968","agree"
"969","disagree"
"970","agree"
"971","agree"
"972","agree"
"973","agree"
"974","agree"
"975","disagree"
"976","agree"
"977","agree"
"978","agree"
"979","agree"
"980","agree"
"981","agree"
"982","agree"
"983","agree"
"984","agree"
"985","agree"
"986","agree"
"987","agree"
"988","agree"
"989","agree"
"990","agree"
"991","agree"
"992","agree"
"993","agree"
"994","agree"
"995","agree"
"996","agree"
"997","agree"
"998","agree"
"999","agree"
"1000","agree"
"1001","agree"
"1002","agree"
"1003","agree"
"1004","agree"
"1005","agree"
"1006","agree"
"1007","agree"
"1008","disagree"
"1009","agree"
"1010","agree"
"1011","agree"
"1012","agree"
"1013","agree"
"1014","agree"
"1015","agree"
"1016","disagree"
"1017","agree"
"1018","disagree"
"1019","disagree"
"1020","disagree"
"1021","agree"
"1022","disagree"
"1023","agree"
"1024","disagree"
"1025","agree"
"1026","agree"
"1027","agree"
"1028","agree"
"1029","agree"
"1030","agree"
"1031","agree"
"1032","disagree"
"1033","agree"
"1034","agree"
"1035","agree"
"1036","agree"
"1037","agree"
"1038","disagree"
"1039","agree"
"1040","agree"
"1041","agree"
"1042","agree"
"1043","agree"
"1044","agree"
"1045","agree"
"1046","disagree"
"1047","agree"
"1048","agree"
"1049","disagree"
"1050","agree"
"1051","disagree"
"1052","agree"
"1053","disagree"
"1054","agree"
"1055","agree"
"1056","agree"
"1057","agree"
"1058","agree"
"1059","agree"
"1060","agree"
"1061","agree"
"1062","agree"
"1063","agree"
"1064","agree"
"1065","agree"
"1066","agree"
"1067","disagree"
"1068","disagree"
"1069","disagree"
"1070","agree"
"1071","agree"
"1072","disagree"
"1073","agree"
"1074","agree"
"1075","agree"
"1076","agree"
"1077","agree"
"1078","agree"
"1079","agree"
"1080","disagree"
"1081","agree"
"1082","agree"
"1083","agree"
"1084","disagree"
"1085","agree"
"1086","agree"
"1087","agree"
"1088","agree"
"1089","agree"
"1090","agree"
"1091","agree"
"1092","agree"
"1093","agree"
"1094","agree"
"1095","agree"
"1096","agree"
"1097","agree"
"1098","agree"
"1099","agree"
"1100","disagree"
"1101","agree"
"1102","agree"
"1103","agree"
"1104","agree"
"1105","agree"
"1106","agree"
"1107","agree"
"1108","agree"
"1109","agree"
"1110","agree"
"1111","disagree"
"1112","agree"
"1113","disagree"
"1114","agree"
"1115","agree"
"1116","agree"
"1117","agree"
"1118","agree"
"1119","agree"
"1120","agree"
"1121","agree"
"1122","agree"
"1123","agree"
"1124","agree"
"1125","agree"
"1126","disagree"
"1127","agree"
"1128","agree"
"1129","disagree"
"1130","agree"
"1131","agree"
"1132","disagree"
"1133","agree"
"1134","disagree"
"1135","agree"
"1136","agree"
"1137","agree"
"1138","agree"
"1139","agree"
"1140","agree"
"1141","agree"
"1142","agree"
"1143","agree"
"1144","disagree"
"1145","agree"
"1146","agree"
"1147","agree"
"1148","agree"
"1149","agree"
"1150","agree"
"1151","agree"
"1152","disagree"
"1153","agree"
"1154","agree"
"1155","agree"
"1156","agree"
"1157","agree"
"1158","agree"
"1159","agree"
"1160","disagree"
"1161","disagree"
"1162","agree"
"1163","agree"
"1164","disagree"
"1165","agree"
"1166","disagree"
"1167","agree"
"1168","agree"
"1169","disagree"
"1170","agree"
"1171","agree"
"1172","agree"
"1173","disagree"
"1174","agree"
"1175","agree"
"1176","agree"
"1177","disagree"
"1178","agree"
"1179","agree"
"1180","agree"
"1181","agree"
"1182","agree"
"1183","disagree"
"1184","agree"
"1185","agree"
"1186","agree"
"1187","agree"
"1188","agree"
"1189","agree"
"1190","disagree"
"1191","agree"
"1192","disagree"
"1193","disagree"
"1194","agree"
"1195","disagree"
"1196","agree"
"1197","agree"
"1198","agree"
"1199","agree"
"1200","agree"
"1201","agree"
"1202","agree"
"1203","disagree"
"1204","agree"
"1205","agree"
"1206","agree"
"1207","agree"
"1208","agree"
"1209","agree"
"1210","agree"
"1211","agree"
"1212","agree"
"1213","agree"
"1214","disagree"
"1215","disagree"
"1216","agree"
"1217","disagree"
"1218","agree"
"1219","agree"
"1220","agree"
"1221","agree"
"1222","disagree"
"1223","agree"
"1224","agree"
"1225","agree"
"1226","agree"
"1227","disagree"
"1228","agree"
"1229","agree"
"1230","agree"
"1231","agree"
"1232","agree"
"1233","agree"
"1234","disagree"
"1235","agree"
"1236","agree"
"1237","agree"
"1238","agree"
"1239","agree"
"1240","agree"
"1241","agree"
"1242","agree"
"1243","agree"
"1244","agree"
"1245","agree"
"1246","agree"
"1247","disagree"
"1248","agree"
"1249","agree"
"1250","agree"
"1251","agree"
"1252","agree"
"1253","agree"
"1254","agree"
"1255","agree"
"1256","agree"
"1257","agree"
"1258","agree"
"1259","agree"
"1260","agree"
"1261","agree"
"1262","agree"
"1263","agree"
"1264","agree"
"1265","agree"
"1266","agree"
"1267","agree"
"1268","agree"
"1269","disagree"
"1270","agree"
"1271","agree"
"1272","agree"
"1273","agree"
"1274","agree"
"1275","agree"
"1276","agree"
"1277","agree"
"1278","agree"
"1279","agree"
"1280","agree"
"1281","agree"
"1282","agree"
"1283","agree"
"1284","agree"
"1285","disagree"
"1286","agree"
"1287","agree"
"1288","agree"
"1289","agree"
"1290","agree"
"1291","agree"
"1292","agree"
"1293","agree"
"1294","agree"
"1295","agree"
"1296","agree"
"1297","agree"
"1298","agree"
"1299","disagree"
"1300","agree"
"1301","agree"
"1302","agree"
"1303","agree"
"1304","agree"
"1305","agree"
"1306","disagree"
"1307","agree"
"1308","agree"
"1309","agree"
"1310","disagree"
"1311","disagree"
"1312","agree"
"1313","agree"
"1314","agree"
"1315","agree"
"1316","disagree"
"1317","disagree"
"1318","agree"
"1319","agree"
"1320","agree"
"1321","agree"
"1322","disagree"
"1323","agree"
"1324","agree"
"1325","agree"
"1326","disagree"
"1327","agree"
"1328","agree"
"1329","agree"
"1330","agree"
"1331","agree"
"1332","agree"
"1333","agree"
"1334","agree"
"1335","disagree"
"1336","agree"
"1337","agree"
"1338","agree"
"1339","agree"
"1340","agree"
"1341","agree"
"1342","agree"
"1343","agree"
"1344","agree"
"1345","agree"
"1346","disagree"
"1347","agree"
"1348","agree"
"1349","disagree"
"1350","agree"
"1351","agree"
"1352","agree"
"1353","agree"
"1354","agree"
"1355","agree"
"1356","disagree"
"1357","agree"
"1358","disagree"
"1359","agree"
"1360","agree"
"1361","agree"
"1362","agree"
"1363","agree"
"1364","agree"
"1365","disagree"
"1366","agree"
"1367","agree"
"1368","agree"
"1369","agree"
"1370","disagree"
"1371","agree"
"1372","agree"
"1373","agree"
"1374","agree"
"1375","agree"
"1376","agree"
"1377","agree"
"1378","agree"
"1379","agree"
"1380","agree"
"1381","disagree"
"1382","disagree"
"1383","agree"
"1384","agree"
"1385","agree"
"1386","agree"
"1387","agree"
"1388","agree"
"1389","agree"
"1390","agree"
"1391","agree"
"1392","disagree"
"1393","agree"
"1394","disagree"
"1395","agree"
"1396","agree"
"1397","disagree"
"1398","agree"
"1399","agree"
"1400","agree"
"1401","agree"
"1402","agree"
"1403","agree"
"1404","disagree"
"1405","agree"
"1406","agree"
"1407","agree"
"1408","agree"
"1409","agree"
"1410","agree"
"1411","agree"
"1412","agree"
"1413","disagree"
"1414","agree"
"1415","agree"
"1416","agree"
"1417","agree"
"1418","agree"
"1419","agree"
"1420","agree"
"1421","agree"
"1422","agree"
"1423","agree"
"1424","agree"
"1425","disagree"
"1426","agree"
"1427","agree"
"1428","agree"
"1429","agree"
"1430","agree"
"1431","agree"
"1432","agree"
"1433","agree"
"1434","agree"
"1435","agree"
"1436","agree"
"1437","agree"
"1438","agree"
"1439","disagree"
"1440","agree"
"1441","agree"
"1442","agree"
"1443","disagree"
"1444","agree"
"1445","agree"
"1446","agree"
"1447","agree"
"1448","agree"
"1449","agree"
"1450","agree"
"1451","agree"
"1452","disagree"
"1453","agree"
"1454","agree"
"1455","agree"
"1456","agree"
"1457","agree"
"1458","disagree"
"1459","disagree"
"1460","agree"
"1461","disagree"
"1462","disagree"
"1463","agree"
"1464","agree"
"1465","agree"
"1466","disagree"
"1467","agree"
"1468","agree"
"1469","agree"
"1470","agree"
"1471","agree"
"1472","agree"
"1473","agree"
"1474","agree"
"1475","agree"
"1476","agree"
"1477","agree"
"1478","agree"
"1479","agree"
"1480","agree"
"1481","agree"
"1482","agree"
"1483","disagree"
"1484","agree"
"1485","disagree"
"1486","agree"
"1487","disagree"
"1488","disagree"
"1489","agree"
"1490","agree"
"1491","agree"
"1492","agree"
"1493","agree"
"1494","agree"
"1495","agree"
"1496","agree"
"1497","agree"
"1498","agree"
"1499","agree"
"1500","agree"
"1501","agree"
"1502","agree"
"1503","agree"
"1504","agree"
"1505","agree"
"1506","agree"
"1507","agree"
"1508","agree"
"1509","agree"
"1510","disagree"
"1511","disagree"
"1512","agree"
"1513","agree"
"1514","disagree"
"1515","agree"
"1516","disagree"
"1517","agree"
"1518","agree"
"1519","agree"
"1520","agree"
"1521","agree"
"1522","agree"
"1523","agree"
"1524","agree"
"1525","agree"
"1526","agree"
"1527","agree"
"1528","disagree"
"1529","agree"
"1530","agree"
"1531","agree"
"1532","agree"
"1533","agree"
"1534","agree"
"1535","agree"
"1536","disagree"
"1537","agree"
"1538","disagree"
"1539","agree"
"1540","agree"
"1541","agree"
"1542","agree"
"1543","agree"
"1544","agree"
"1545","agree"
"1546","agree"
"1547","agree"
"1548","agree"
"1549","disagree"
"1550","agree"
"1551","disagree"
"1552","agree"
"1553","agree"
"1554","agree"
"1555","agree"
"1556","agree"
"1557","agree"
"1558","disagree"
"1559","agree"
"1560","agree"
"1561","agree"
"1562","agree"
"1563","agree"
"1564","agree"
"1565","agree"
"1566","agree"
"1567","agree"
"1568","agree"
"1569","disagree"
"1570","agree"
"1571","agree"
"1572","agree"
"1573","agree"
"1574","disagree"
"1575","disagree"
"1576","agree"
"1577","disagree"
"1578","agree"
"1579","agree"
"1580","agree"
"1581","agree"
"1582","agree"
"1583","agree"
"1584","agree"
"1585","disagree"
"1586","agree"
"1587","agree"
"1588","agree"
"1589","agree"
"1590","agree"
"1591","agree"
"1592","agree"
"1593","agree"
"1594","agree"
"1595","agree"
"1596","agree"
"1597","agree"
"1598","agree"
"1599","agree"
"1600","agree"
"1601","agree"
"1602","agree"
"1603","agree"
"1604","agree"
"1605","agree"
"1606","agree"
"1607","agree"
"1608","agree"
"1609","agree"
"1610","agree"
"1611","agree"
"1612","agree"
"1613","agree"
"1614","agree"
"1615","agree"
"1616","agree"
"1617","agree"
"1618","agree"
"1619","agree"
"1620","agree"
"1621","agree"
"1622","agree"
"1623","agree"
"1624","disagree"
"1625","agree"
"1626","agree"
"1627","agree"
"1628","agree"
"1629","agree"
"1630","agree"
"1631","agree"
"1632","agree"
"1633","agree"
"1634","agree"
"1635","agree"
"1636","agree"
"1637","agree"
"1638","agree"
"1639","agree"
"1640","agree"
"1641","disagree"
"1642","agree"
"1643","disagree"
"1644","agree"
"1645","agree"
"1646","agree"
"1647","agree"
"1648","agree"
"1649","agree"
"1650","agree"
"1651","agree"
"1652","agree"
"1653","agree"
"1654","disagree"
"1655","disagree"
"1656","agree"
"1657","disagree"
"1658","disagree"
"1659","disagree"
"1660","agree"
"1661","disagree"
"1662","agree"
"1663","disagree"
"1664","disagree"
"1665","disagree"
"1666","agree"
"1667","agree"
"1668","disagree"
"1669","agree"
"1670","agree"
"1671","agree"
"1672","agree"
"1673","agree"
"1674","agree"
"1675","agree"
"1676","agree"
"1677","disagree"
"1678","disagree"
"1679","agree"
"1680","agree"
"1681","disagree"
"1682","agree"
"1683","disagree"
"1684","agree"
"1685","agree"
"1686","agree"
"1687","agree"
"1688","agree"
"1689","agree"
"1690","disagree"
"1691","agree"
"1692","agree"
"1693","agree"
"1694","agree"
"1695","agree"
"1696","agree"
"1697","agree"
"1698","agree"
"1699","agree"
"1700","disagree"
"1701","agree"
"1702","agree"
"1703","agree"
"1704","agree"
"1705","agree"
"1706","agree"
"1707","agree"
"1708","agree"
"1709","agree"
"1710","agree"
"1711","agree"
"1712","disagree"
"1713","agree"
"1714","agree"
"1715","agree"
"1716","agree"
"1717","agree"
"1718","agree"
"1719","agree"
"1720","agree"
"1721","agree"
"1722","agree"
"1723","agree"
"1724","agree"
"1725","disagree"
"1726","agree"
"1727","disagree"
"1728","agree"
"1729","agree"
"1730","agree"
"1731","agree"
"1732","agree"
"1733","disagree"
"1734","agree"
"1735","agree"
"1736","agree"
"1737","agree"
"1738","agree"
"1739","agree"
"1740","agree"
"1741","agree"
"1742","agree"
"1743","agree"
"1744","agree"
"1745","agree"
"1746","agree"
"1747","agree"
"1748","agree"
"1749","agree"
"1750","agree"
"1751","disagree"
"1752","agree"
"1753","disagree"
"1754","agree"
"1755","agree"
"1756","agree"
"1757","agree"
"1758","disagree"
"1759","agree"
"1760","agree"
"1761","agree"
"1762","agree"
"1763","disagree"
"1764","agree"
"1765","disagree"
"1766","agree"
"1767","disagree"
"1768","agree"
"1769","agree"
"1770","disagree"
"1771","disagree"
"1772","agree"
"1773","agree"
"1774","agree"
"1775","disagree"
"1776","agree"
"1777","agree"
"1778","agree"
"1779","agree"
"1780","disagree"
"1781","agree"
"1782","agree"
"1783","agree"
"1784","agree"
"1785","disagree"
"1786","agree"
"1787","agree"
"1788","agree"
"1789","agree"
"1790","agree"
"1791","agree"
"1792","agree"
"1793","agree"
"1794","agree"
"1795","agree"
"1796","disagree"
"1797","agree"
"1798","agree"
"1799","agree"
"1800","agree"
"1801","agree"
"1802","agree"
"1803","agree"
"1804","agree"
"1805","agree"
"1806","agree"
"1807","disagree"
"1808","agree"
"1809","agree"
"1810","agree"
"1811","disagree"
"1812","agree"
"1813","agree"
"1814","agree"
"1815","disagree"
"1816","agree"
"1817","agree"
"1818","agree"
"1819","agree"
"1820","agree"
"1821","disagree"
"1822","disagree"
"1823","agree"
"1824","disagree"
"1825","agree"
"1826","agree"
"1827","agree"
"1828","agree"
"1829","disagree"
"1830","disagree"
"1831","agree"
"1832","agree"
"1833","agree"
"1834","disagree"
"1835","agree"
